SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,10,protocol,7.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224691
3,0,0,10,protocol,7.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531818
4,0,0,10,protocol,7.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457883
5,0,0,10,protocol,7.5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419099
6,0,0,10,protocol,7.5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401244
7,0,0,10,protocol,7.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392873
8,0,0,10,protocol,7.5,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367082
9,0,0,10,protocol,7.5,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324384
10,0,0,10,protocol,7.5,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276585
11,0,0,10,protocol,7.5,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255459
12,0,0,10,protocol,7.5,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237646
13,0,0,10,protocol,7.5,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232749
14,0,0,10,protocol,7.5,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213579
15,0,0,10,protocol,7.5,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206471
16,0,0,10,protocol,7.5,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190428
17,0,0,10,protocol,7.5,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181847
18,0,0,10,protocol,7.5,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174457
19,0,0,10,protocol,7.5,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170195
20,0,0,10,protocol,7.5,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165216
21,0,0,10,protocol,7.5,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160424
22,0,0,10,protocol,7.5,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152146
23,0,0,10,protocol,7.5,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146837
24,0,0,10,protocol,7.5,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143843
25,0,0,10,protocol,7.5,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131458
26,0,0,10,protocol,7.5,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122625
27,0,0,10,protocol,7.5,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110744
28,0,0,10,protocol,7.5,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108175
29,0,0,10,protocol,7.5,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104875
30,0,0,10,protocol,7.5,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99635.1
31,0,0,10,protocol,7.5,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93922.2
32,0,0,10,protocol,7.5,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92059.1
